case_id,cohort,method,status,runtime_ms,wall_ms,cec_rounds,dt_builds,synth_ms,optimizer_solver_ms,apply_source,effective_rules,effective_literals,effective_depth,actual_area_delta_trojan,actual_level_delta_trojan,miter_added,miter_fn,miter_fp,miter_retry,miter_proved,cover_terms_generated,cover_terms_final,cover_inverters_before,cover_inverters_after,cover_unique_features_before,cover_unique_features_after,cover_logic_risk_before,cover_logic_risk_after
c5315_trojan55,v6_vn_rounds_gt_1,milp-cover,PASS,31774.2,32189.025723026134,1,3,19013.0071,150.2013,literal_patch_cut,1,1,1,-1,-6,5,3,2,1,0,405,66,3,0,15,15,1.8292,1.8292
c5315_trojan55,v6_vn_rounds_gt_1,z3-pb,PASS,33087.4,33334.10789305344,1,3,20445.2583,128.2352,literal_patch_cut,1,1,1,-1,-6,5,3,2,1,0,0,0,0,0,0,0,0,0
c5315_trojan78,v6_vn_rounds_gt_1,milp-cover,PASS,42316.4,42639.64412896894,1,3,21343.5574,196.6696,literal_patch_cut,1,1,1,-1,0,5,3,2,1,0,904,165,4,2,16,16,1.7207,1.7207
c5315_trojan78,v6_vn_rounds_gt_1,z3-pb,PASS,43828.1,44115.96937500872,1,3,21461.505,180.1897,literal_patch_cut,1,1,1,-1,0,5,3,2,1,0,0,0,0,0,0,0,0,0
c7552_trojan23,v6_vn_rounds_gt_1,milp-cover,PASS,5748.75,5856.258896063082,0,1,5064.4108,10.6061,literal_patch_cut,1,1,1,-1,0,0,0,0,0,0,4,3,1,0,2,2,0.5495,0.5495
c7552_trojan23,v6_vn_rounds_gt_1,z3-pb,PASS,5912.8,6044.182440964505,0,1,4895.387,8.8424,literal_patch_cut,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c7552_trojan53,v6_vn_rounds_gt_1,milp-cover,PASS,2799.27,3139.723959029652,0,2,864.8346,5.1455,literal_patch_cut,1,1,1,-1,0,5,3,2,1,0,10,6,4,2,5,5,0.8756,0.8756
c7552_trojan53,v6_vn_rounds_gt_1,z3-pb,PASS,2594.94,2870.3534830128774,0,2,860.8623,14.2007,literal_patch_cut,1,1,1,-1,0,5,3,2,1,0,0,0,0,0,0,0,0,0
c7552_trojan73,v6_vn_rounds_gt_1,milp-cover,PASS,5796.55,6081.2284459825605,0,1,4999.9151,31.6947,literal_patch_cut,1,1,1,-1,0,0,0,0,0,0,4,4,1,0,4,4,0.5259,0.5259
c7552_trojan73,v6_vn_rounds_gt_1,z3-pb,PASS,6349.61,6540.884144953452,0,1,5048.154,23.1415,literal_patch_cut,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c7552_trojan82,v6_vn_rounds_gt_1,milp-cover,PASS,6723.32,6921.929387957789,1,6,1937.4514,7.7759,literal_patch_cut,1,1,1,-1,0,20,3,17,4,0,21,12,0,0,15,15,2.8607,2.8607
c7552_trojan82,v6_vn_rounds_gt_1,z3-pb,PASS,6946.5,7139.291989966296,1,6,2007.4842,35.5796,literal_patch_cut,1,1,1,-1,0,20,3,17,4,0,0,0,0,0,0,0,0,0
c880_trojan26,v6_vn_rounds_gt_1,milp-cover,PASS,418.655,522.8371979901567,0,2,268.3611,3.6724,literal_patch_cut,1,1,1,-1,0,5,3,2,1,0,11,4,4,3,6,6,1.201,1.201
c880_trojan26,v6_vn_rounds_gt_1,z3-pb,PASS,700.93,828.0338529730216,0,3,411.983,52.5405,literal_patch_cut,1,1,1,-1,0,10,6,4,2,0,0,0,0,0,0,0,0,0
c880_trojan3,v6_vn_rounds_gt_1,milp-cover,PASS,611.462,717.8188670659438,1,2,476.3288,21.5699,literal_patch_cut,1,1,1,-1,0,0,0,0,0,0,10,8,5,5,11,10,1.3661,1.337
c880_trojan3,v6_vn_rounds_gt_1,z3-pb,PASS,630.923,723.6957340501249,1,2,472.6831,27.0669,literal_patch_cut,1,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c880_trojan7,v6_vn_rounds_gt_1,milp-cover,PASS,384.342,521.0319510661066,0,2,268.2692,2.9267,literal_patch_cut,1,1,1,-1,-1,5,3,2,1,0,6,5,4,3,5,5,1.0629,1.0629
c880_trojan7,v6_vn_rounds_gt_1,z3-pb,PASS,421.691,520.9397840080783,0,2,306.3678,20.8969,literal_patch_cut,1,1,1,-1,-1,5,3,2,1,0,0,0,0,0,0,0,0,0
